label,附加评论,positive,positive_prob,negative_prob,confidence,sentiment
1.0,物流我承认很棒,1,0.917146,0.0828538,0.81588,2
0.0,头有锈点?,0,0.255867,0.744133,0.431406,0
0.0,没多大用 地漏边上的渣子清理一会就转不动了。,0,0.19267,0.80733,0.571846,0
-1.0,"电池耐用，力道一般，同心度差，家用足矣。
高精作业不建议购买。",0,0.084825,0.915175,0.8115,0
1.0,美观实用,1,0.545564,0.454436,0.0887191,1
0.0,要是有个工具箱装那就好了，家用没有箱子装不方便,0,0.331269,0.668731,0.263847,0
0.0,钻7cm的木孔，即然钻不动，总是卡住，失望了,0,0.1984,0.8016,0.559111,0
0.0,同轴性确实一般，用了加长杆后看起来比较明显，但是家用也够了，性价比还是可以,0,0.43703,0.56297,0.0288212,0
0.0,好好好,1,0.672632,0.327367,0.272517,2
0.0,试了下电钻，同心度肉眼看得到的差。,0,0.215318,0.784682,0.521516,0
1.0,物流我承认很棒,1,0.917146,0.0828538,0.81588,2
0.0,还行吧,1,0.58256,0.41744,0.0723545,2
0.0,用了一个月，感觉还不错，家具组装能够胜任。一块电池能用2天左右！！想要入手的请放心购买。,1,0.778955,0.221045,0.508789,2
0.0,头有锈点?,0,0.255867,0.744133,0.431406,0
0.0,家用挺好的，已经试用过，好评。,1,0.954785,0.0452151,0.899522,2
0.0,还行！,1,0.727519,0.272481,0.394487,2
0.0,万用宝吗肯定属于啥都可使用哦,1,0.728147,0.271853,0.395882,2
0.0,刚开始没有掌握 ，用开了，非常别扭 ，还损伤了下面的塑料底座 ，要是用金属的就好了。后面掌握了使用方法 ，感觉很方便，很好用，非常喜欢。,1,0.952586,0.0474142,0.894635,2
0.0,工具箱还有三个位置没有配。是厂家太考虑成本了吧。附件带的太少。200元差价基本铝箱了,0,0.0774053,0.922595,0.827988,0
0.0,万用宝吗肯定属于啥都可使用哦,1,0.728147,0.271853,0.395882,2
0.0,请问这两个配件用哪里的？,0,0.112916,0.887084,0.749076,0
0.0,坑，坑，坑。,0,0.00893533,0.991065,0.980144,0
1.0,拿到手开箱一看就满意，用了再评，附件用坏到哪去买原件。;;,0,0.498058,0.501942,0.961157,1
0.0,刚开始没有掌握 ，用开了，非常别扭 ，还损伤了下面的塑料底座 ，要是用金属的就好了。后面掌握了使用方法 ，感觉很方便，很好用，非常喜欢。,1,0.952586,0.0474142,0.894635,2
1.0,挺好的，挺好的，特别好，顾客特别喜欢，主要是品牌信得过大品牌东西特别好用的，值得信赖嗯，客户非常满意嗯，如果以后有需要还是会来买的好评好评?,1,0.997715,0.00228509,0.994922,2
1.0,客户来电话说明: 只能锯抠个洞什么的，不能切割地板。跟图片介绍差异太大，产品介绍里可以切钉子什么的，实际上切6块复合板就牙钝了无法使用了。质量太差了！过了7天又不能退货。太相信网页介绍了，自认倒霉吧。,0,0.00461053,0.995389,0.989754,0
0.0,质量好,1,0.73133,0.26867,0.402955,2
0.0,不好用,0,0.127442,0.872558,0.716797,0
1.0,切削打磨功能非常好用,1,0.684461,0.315539,0.298801,2
0.0,好满意,1,0.892441,0.107559,0.760981,2
1.0,还行吧。没啥问题。毕竟都是牌子货。质感还是可以，拿手上很重,0,0.269947,0.730052,0.400117,0
0.0,用了一段时间，确实还是值得推荐,1,0.849561,0.150439,0.665692,2
0.0,好用，师傅们用起来很方便。,1,0.948468,0.0515322,0.885484,2
0.0,不错,1,0.914388,0.085612,0.809751,2
1.0,忘了说，还送了赠品小威盒子，配件一下就丰富了，常用的都有，希望以后能送些s2的批头。,1,0.955389,0.0446107,0.900865,2
0.0,原来还能转换两个模式,1,0.578876,0.421124,0.0641685,2
0.0,用过才来评,0,0.478957,0.521043,0.579145,1
1.0,外观很漂亮。做工很精细。很有劲。,1,0.998136,0.00186443,0.995857,2
1.0,?送货就是快，当天到货。jd快狠准，某 宝的还要7天,1,0.839598,0.160402,0.643552,2
1.0,我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容,0,0.435151,0.564849,0.0329971,0
1.0,忘了说，还送了赠品小威盒子，配件一下就丰富了，常用的都有，希望以后能送些s2的批头。,1,0.955389,0.0446107,0.900865,2
2.0,冲击很好，力道大。我家是混凝土墙结构，打洞很轻松。,1,0.99575,0.00424997,0.990556,2
1.0,质量好马力大，冲击力强,1,0.79383,0.20617,0.541844,2
0.0,太方便了，家用神器啊。,1,0.592527,0.407473,0.0945054,2
0.0,值得购买。太方便了,1,0.789397,0.210603,0.531993,2
0.0,用过才来评,0,0.478957,0.521043,0.579145,1
0.0,已经试用了，挺好的，好评，以后陆续还会购买此品牌的其它产品。,1,0.967842,0.0321582,0.928537,2
0.0,自用打几个孔还是可是的,0,0.399248,0.600752,0.112782,0
1.0,送的钻头真心不错,1,0.851155,0.148845,0.669233,2
0.0,原来前三分钟付款领套件是需要后期联系客服的，问题已解决，好评！,0,0.287325,0.712675,0.3615,0
0.0,不错了,1,0.899266,0.100734,0.776147,2
0.0,昨天试了下，感觉送的砖石钻头不直呢，是都这样么，还是我中奖了,0,0.27356,0.72644,0.392089,0
1.0,我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容,0,0.435151,0.564849,0.0329971,0
0.0,非常好用、已购两个了,1,0.765389,0.234611,0.478643,2
1.0,?送货就是快，当天到货。jd快狠准，某 宝的还要7天,1,0.839598,0.160402,0.643552,2
0.0,bu cuo,1,0.534549,0.465451,0.309011,1
0.0,商家态度非常好。能够很好的和买家沟通,1,0.964805,0.035195,0.921789,2
1.0,很好，轻便,1,0.956174,0.0438261,0.902609,2
0.0,性能不错，非常满意，好好好。,1,0.997954,0.00204633,0.995453,2
0.1,赠品没有和产品装在一起，我取快递时没有注意，只把产品取走了，好在第二天快递小哥打电话提醒,0,0.191745,0.808255,0.5739,0
0.0,后面弄懂了，原来是旋转钻头，很抱歉给了差评，是我自身问题。,0,0.0881291,0.911871,0.804158,0
2.0,已经给修好了，售后服务还是很好的，收回我的差评,0,0.371045,0.628956,0.175457,0
5.0,店家发货直及时，下午就用上了，感党很好，钻头的质量也很好，明天继续，很好的一次购物，小巧玲珑，使用很方便。价格也合理，赞一个,1,0.997075,0.00292539,0.993499,2
-1.0,本来打算单独买的配件，结果送了一套,0,0.302904,0.697096,0.32688,0
0.0,今天按窗试了一下，真不错！！！！,1,0.942526,0.0574739,0.87228,2
0.0,后面弄懂了，原来是旋转钻头，很抱歉给了差评，是我自身问题。,0,0.0881291,0.911871,0.804158,0
0.0,使用很棒，居家过日子完全够了,1,0.941731,0.0582694,0.870513,2
0.0,看评论人家都有赠品，我的好像啥都没有，心里不平衡啊！,0,0.373031,0.626969,0.171042,0
1.0,大品牌还是值得信任得 不错不错,1,0.95062,0.0493801,0.890266,2
0.0,非常实用,1,0.683618,0.316382,0.296929,2
0.0,看看10块电池同时充电的场景，挺震撼的。机器逐个简单试了一下，都还好。现在是电池满电，有时间慢慢弄吧。,1,0.852075,0.147924,0.671279,2
0.0,最掉价的就是这块地板，好歹也是六七百的工具，你就不能用金属材料吗，搞的跟几十块那种山货一样，塑料的易磨损，当然这涉及到很多东西，增加成本，重新设计啊开模什么的，总之希望改进吧！,0,0.0202835,0.979716,0.954926,0
1.0,超划算，超方便，物美价廉，非常喜欢。,1,0.998836,0.00116411,0.997413,2
1.0,超划算，超方便，物美价廉，非常喜欢。,1,0.998836,0.00116411,0.997413,2
0.0,看看10块电池同时充电的场景，挺震撼的。机器逐个简单试了一下，都还好。现在是电池满电，有时间慢慢弄吧。,1,0.852075,0.147924,0.671279,2
0.0,非常不错的工具，但是弄不懂这个开关是干什么的。,1,0.893606,0.106394,0.763568,2
2.0,锯片左右摆动间隙太大，导致切割百不平整，而且没有导尺，只是锂电池一个好处。,0,0.0222761,0.977724,0.950498,0
-1.0,用起来还好吧！主要是老豆用的！听说使用起来电池差了一点！估计后面会买一个4AH的吧！不过电池是真的贵了一点！不过也是一分钱一分货！,0,0.159116,0.840884,0.64641,0
0.0,给力,1,0.750763,0.249237,0.44614,2
1.0,贴纸12个月质保，下面是3年质保的英文;;欺负自己人啊，明明是国产品牌,0,0.186804,0.813196,0.584881,0
0.0,用了几次很好。,1,0.8997,0.1003,0.777111,2
0.0,这只多功能的电锯在外面少有，cp值超高，！,1,0.959608,0.0403923,0.910239,2
0.0,已经给保价了，东西用着还可以，完全可以自己做一些小东西了。,0,0.426372,0.573628,0.0525071,0
0.0,劳动成果,1,0.578966,0.421034,0.0643685,2
0.1,单手打螺丝略微重手了一点，要用点力气，不过这点见仁见智，力气大的不在话下，力气小的，家用打几个也不算太累。周日利用一些边角料，做了个小书架,0,0.260427,0.739573,0.421273,0
0.1,一份价格对一份质量，对得起这个价格了一份价格对一份质量，对得起这个价格了一份价格对一份质量，对得起这个价格了,1,0.516056,0.483945,0.67889,1
0.0,冲击的时候，吱吱响，而且才买了第八天就降价40元。也不给价保！7天内价保，也是醉了。,0,0.0556522,0.944348,0.876328,0
1.0,钻墙不费力，很稳噪音很小，我特意注明木、石、铁三类钻头。刮开涂层短信查询是正品。很满意这个电钻。特此追加评价。,1,0.956737,0.0432634,0.903859,2
3.0,不得不说，博世的东西确实好，以前用过便宜货，转速不能调，不能反转之类的，这一个冲击钻能定好几种工具，比如手电钻，轻型电锤，标准电钻等等，物超所值呀。价格合理，钻头更换方便，家里备一个简直万能！,1,0.964184,0.0358158,0.920409,2
0.0,很好的质量，信赖京东,1,0.944947,0.0550528,0.87766,2
0.0,*mou东，店大欺客，实名认证强迫用户绑定银行卡，强制开通支付业务！,0,0.0425223,0.957478,0.905506,0
2.1,很喜欢在东东上网购 真的不错的 比其他网店实在 服务好 好喜欢 还会介绍朋友来，非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。,1,0.999374,0.000626191,0.998609,2
1.0,不错，博世大品牌，领了券，两百多买的，买到就是赚到,1,0.923546,0.0764539,0.830102,2
1.0,不太会用，尤其是用多大的钻头，钻多深，搞不清楚,0,0.439899,0.560101,0.0224457,0
-1.0,旧的什么冲击钻，准备卖给收破烂了,0,0.173918,0.826082,0.613516,0
1.0,信赖博世，更喜欢博世，百年品牌值得拥有,1,0.958855,0.0411451,0.908567,2
0.0,真的很喜欢这个小玩意！,1,0.801274,0.198726,0.558386,2
1.1,力量还是挺大的，在组装什么东西的时候，能够有限提高安装效率，非常不错，螺丝拧坏了，批头完好无损，赞一个,1,0.976952,0.0230483,0.948781,2
1.0,博世定制版铝合金盒子，漂亮，闪闪发光，能当收藏品,1,0.828178,0.171822,0.618174,2
2.0,晒单后赠品活动不能相信，当初活动广告时没见要求跟客服登记，后来问的时候告诉我晒单时要跟客服登记才能参加活动;;巨坑！太恶心了！,0,0.000591054,0.999409,0.998687,0
0.0,真是不错的小电动工具，有劲！,1,0.960381,0.0396194,0.911957,2
-1.0,这个京东弄的箱子做工非常非常差,0,0.204874,0.795126,0.544724,0
0.0,声音销魂啊,1,0.509408,0.490592,0.811837,1
0.0,感觉扭距调节不是很准，最后容易打滑，反正比手动的快，修车神器,0,0.293394,0.706606,0.348013,0
-1.0,原带批头不行;;,0,0.290466,0.709534,0.354521,0
0.0,老板哪里领盒饭？,0,0.261697,0.738303,0.418451,0
0.0,测试维修一个罗技蓝牙键盘，塑料外壳，共拆装14颗镙丝。拧出镙丝时挺快，这个跟其他电起子差不多，来到拧紧这一步，博世的区别就来了，当镙丝紧时，起子空转，但刀头与镙丝之间不打滑，很好的保护了镙丝头，同时刀头没有磨损的迹象，材质过关。,0,0.398714,0.601286,0.11397,0
0.0,299买的啧啧啧  京东这价格  一起买的耳机 379 现在329,1,0.550513,0.449487,0.00113977,2
1.0,东西很好，快递很快。下次还会购买的东西很好，快递很快。下次还会购买的,1,0.998721,0.00127856,0.997159,2
2.0,"设计这个的人肯定脑子有点残缺。
拧螺丝是爽了，卸螺丝。
重点是用钻头，孔钻好了，但是钻头休想用电动的拿出来，只能手动。",1,0.665168,0.334832,0.255928,2
0.0,起子质量不好别买,0,0.145778,0.854222,0.676049,0
0.0,老板哪里领盒饭啊,0,0.438914,0.561087,0.0246367,0
0.0,老板哪里领盒饭？,0,0.261697,0.738303,0.418451,0
2.0,实战非常方便，省时省力，小小马达，动力杠杠滴，博世果然名不虚传！,1,0.994986,0.00501432,0.988857,2
0.0,还不错看样子 待后期使用看看,1,0.721267,0.278733,0.380594,2
0.0,"10几个快递 电话都没有一个 直接丢在菜鸟驿站 ，搬了三趟，最重的一个有40多斤。别家超市现在都送上门，京东难道送到楼下不行啊？？？？
最恐怖的： 电话都没有一个 直接丢在哪里。然后说 不去拿就退回去了  搞笑 
以后不在京东买重东西了",0,0.00442374,0.995576,0.990169,0
0.0,作为随车工具是极好的,1,0.86888,0.13112,0.708622,2
0.0,试用一下非常给力,1,0.820039,0.179961,0.600086,2
0.0,用了几天感觉还不错，12V的更实用。,1,0.892169,0.107831,0.760375,2
2.0,用了一天，感觉真是太棒了。握到手里特别有感觉。大小粗细我很喜欢，男人就应该这样,1,0.942774,0.0572256,0.872832,2
2.0,使用方便，力道足，做工精细,1,0.904168,0.0958322,0.78704,2
0.0,帮人家买的。 应该可以的   送的配件挺多的,1,0.766331,0.233669,0.480735,2
0.0,装防腐木地板用上了，不错不错,1,0.821107,0.178893,0.602461,2
0.0,宝贝很好。送品也非常实用,1,0.973707,0.0262925,0.941572,2
0.0,今天上午用了一下。很实用。。比手动快多了,1,0.870233,0.129767,0.711629,2
1.0,己使用几次不错，电力超强。家庭使用足够了。家庭使用频次不很高。我款赠送的麻花钻头二枚。多是_世专用的。如果改成普通钻头不知能不能继续使用下去。也算是小小的遗憾吧。,1,0.951057,0.048943,0.891238,2
1.0,家里正好在装修，博世锂电枪钻买的正是时候，家具拼装、开关盒的位置调整都能节省很多体力，安装效率大大提升。,1,0.910269,0.0897305,0.800599,2
1.0,用瓷砖钻头可以打砖墙，玻璃打洞也可以，边打边加水,1,0.642128,0.357872,0.204729,2
0.0,相当好用，非常顺手,1,0.921781,0.0782189,0.82618,2
1.0,用的质感确实非常好，很顺手，会推荐给朋友的,1,0.995715,0.00428511,0.990477,2
1.0,过来追评的，效果很好，东西很好，能多送点批头就好了。,1,0.985494,0.0145055,0.967766,2
0.0,东西可以。,1,0.634885,0.365115,0.188633,2
-4.0,东西我用了，与其他买家在其他店里反应情况一样，我现在怀疑是不是正品真货，东西中心轴不正，批头和麻花钻头上上去总是摆动，还没便宜的国产货好用,0,0.0603542,0.939646,0.86588,0
1.0,博世充电钻很给力，力道十足，真的力量十足，还送了钻头等配件;,1,0.953943,0.0460573,0.89765,2
0.0,试用了，还是很方便的，家用刚好合适，哈哈，以后拎螺丝不愁了，自己拎很累呀哈哈,1,0.994646,0.00535395,0.988102,2
0.0,东西用了，不太好用！,0,0.332028,0.667972,0.26216,0
0.0,试了下，感觉还是可以的，附带的工具更是实用的狠!!,1,0.802325,0.197675,0.560723,2
2.0,用了一段时间，东西很好！出力也很足！博世的东西就是牛逼！店家服务很好，以后还买这家的东西！,1,0.987205,0.0127949,0.971567,2
0.0,非常不错,1,0.947002,0.0529979,0.882227,2
0.0,不错，挺好用！,1,0.975387,0.0246134,0.945304,2
5.0,真的非常好用。工具小巧，不重，有扭矩调节，还是自适应的扭力。之前在纠结单电还是双电。其实个人家用感觉单电就够了。毕竟不会长时间用，也就是零星时间用用。包装也很好的。盒子恰到好处。送的螺丝批用起来也不错。,1,0.995545,0.00445509,0.9901,2
0.0,工具很好用，还送了小尺子非常喜欢，可以在工作室做很多作品了,1,0.997408,0.00259152,0.994241,2
2.0,博世工具顶棒，支持博世，支持卖家的活动,1,0.9911,0.0088995,0.980223,2
0.0,还不错，,1,0.828066,0.171934,0.617924,2
0.0,客户很满意,1,0.906967,0.0930328,0.793261,2
0.0,用了几天很好,1,0.903355,0.0966455,0.785232,2
0.0,不错，值得拥有，可以购买,1,0.982486,0.0175144,0.961079,2
0.0,挺好的，可以购买,1,0.918848,0.0811522,0.819662,2
2.0,手感不错，小巧，方便,1,0.976402,0.0235983,0.947559,2
1.0,这几天用了一下感觉挺好，钻洞打眼用起来都很顺手很舒服,1,0.981211,0.018789,0.958247,2
0.0,补发回来的东西用了，特别是那个万向，特别实用好用。,1,0.909393,0.0906073,0.79865,2
0.0,商家骗人,0,0.101802,0.898198,0.773772,0
1.0,现在用了有两天，整体感觉方便多了，使用起来很轻松，在家里好多可以自己用它做起来，节省了不少时间，精度很准，工作效果很好。强烈推荐给大家！,1,0.998653,0.00134671,0.997007,2
1.0,拿着修了下椅子，利索好使，比敲钉子好使多了。质量也很好。？大牌子放心,1,0.961223,0.0387771,0.913828,2
1.0,大牌子质量就是不错啊，放车间里，工人用了几天了，使用感觉挺不错，相信品质,1,0.938849,0.0611514,0.864108,2
0.0,已经转交给同事使用，表示很满意。,1,0.933114,0.0668862,0.851364,2
0.0,不错的兵器，验证过了是正品！第一次寄来包装盒里面轻微开裂，店家二话不说寄了一个新的来，很满意，棒棒哒！,1,0.988508,0.0114923,0.974462,2
0.0,挺好用的，挺顺手的，不错,1,0.982862,0.0171384,0.961915,2
0.0,使用之后，很满意，非常不错的电动工具，自己已经组装了一个洗衣机柜子,1,0.990216,0.00978401,0.978258,2
0.0,卖家不诚信，很垃圾的，千万别信什么好评返红包,0,0.0240095,0.97599,0.946645,0
-1.0,用起来东西还是不错、挺有劲的！唯独就是带的螺丝头套盒的盒子坏的！,1,0.918419,0.0815815,0.818708,2
-2.0,售后服务差了 以后这家微店的东西 尽量不要再购买 才买一个多月的博世就充不进电,0,0.00810521,0.991895,0.981988,0
0.0,试用了一下，挺好的吧，我不懂这方面的?,1,0.596735,0.403265,0.103855,2
0.0,用了一个礼拜了，工人说很好用。没出现什么问题，很满意！,1,0.9439,0.0561002,0.875333,2
0.0,很好,1,0.947595,0.0524047,0.883545,2
0.0,确实实用，方便，然后以后还能购买,1,0.877799,0.122202,0.728441,2
-1.0,店铺服务态度不好,0,0.0916158,0.908384,0.796409,0
1.0,用了好几天，确实挺不错啊，很结实，很耐用！,1,0.996738,0.00326215,0.992751,2
1.0,电钻不错，就是4.2钻头说15一个太坑。跟三四块的钻头一个样。含钴不至于那么贵,0,0.403277,0.596723,0.103829,0
-1.0,东西真假我不说，用的过程中出了点小问题咨询一下卖家，不过那态度太差！当初真是瞎了眼在这家买东西，相信看过这段评论的人不要和我一样！换家买吧朋友！我钻号淘宝从没有差评，不会说假话的！,0,0.00321534,0.996785,0.992855,0
0.0,质量是没得说怕，还是给5分。,1,0.743257,0.256743,0.42946,2
0.0,品质可信赖！,1,0.690431,0.309569,0.312069,2
0.0,用了一下，很不错。,1,0.942596,0.0574041,0.872435,2
1.0,对这产品好评！不仅可以钻墙，还可以钻瓷砖，也可以拆装螺丝！对我们水电工来说就是神器。,1,0.905465,0.0945353,0.789922,2
0.0,怎么电池用不了多久啊？杭州产的？不是应该是德国产的吗,0,0.0534242,0.946576,0.88128,0
0.0,服务太差，还说收到货给10元的返利什么都没有，，他的评价都是刷的吧，完全判若两人，现在连话都不说了，太气人了，淘友们请擦亮眼睛吧,0,0.00113007,0.99887,0.997489,0
0.0,今天已经用上了，装了宜家的小柜子，很好用哦,1,0.949995,0.0500051,0.888878,2
1.0,大品牌好用、名符其实。,1,0.81745,0.18255,0.594333,2
0.0,特别好用,1,0.840011,0.159989,0.644469,2
0.0,特别好用,1,0.840011,0.159989,0.644469,2
2.0,电钻用起来很好，拧螺丝扭力足够强大，钻头拆卸方便，目前一切都好。,1,0.996307,0.0036931,0.991793,2
3.0,博世的手电钻确实好用，不振手，大爱，干活速度提升了一倍,1,0.931304,0.0686959,0.847343,2
0.0,质量还是和之前买的一样好，还会再来的,1,0.856669,0.143331,0.681486,2
0.0,真心值了,1,0.65227,0.34773,0.227266,2
4.0,收到货后打开包装发现少了一个长批头，从此开始了漫长的协商过程，各种的理由让我等，快一个月了才给退款，一联系客服就说给转售后，转完售后就让我第二天联系，逢周末让周一联系，11：00联系了售后下班，用淘宝十来年了，头回碰到这样的商家,0,0.0150767,0.984923,0.966496,0
0.0,好！,1,0.802032,0.197968,0.560072,2
0.0,一般般吧，转换低速跟高速的转换不好用，挑不到位。电池也就一般般,0,0.063492,0.936508,0.858907,0
0.0,以前就用过的。,0,0.483543,0.516457,0.670855,1
0.0,太不好用了，,0,0.0480677,0.951932,0.893183,0
1.0,都别买他家东西了，这电钻不通心，告诉我  我买的便宜，这不扯淡呢吗，这电钻本身就问题，你们博士电钻就这样啊 ，反正被买就是了，这店主太不讲究了,0,0.0242023,0.975798,0.946217,0
1.0,用上了真心不行，不够力，充电也不足，就只能家里凑合用了，还私下要好评返现，不推荐。,0,0.0209546,0.979045,0.953434,0
2.0,博世就是好用，用博世工作效率高多了！建议使用频率高的朋友拍两个电池！5星好评！,1,0.844309,0.155691,0.654019,2
1.0,此店工具全，价格合理，是个大公司，需要发票很快就邮寄过来了，而且可以开17的增发票。有需要还是来这样的公司。,1,0.844648,0.155352,0.654773,2
